2022-05-05 12:10:34.398 UTC,,,1324,,6273beba.52c,1,,2022-05-05 12:10:34 UTC,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster",,0
2022-05-05 12:10:34.398 UTC,,,1324,,6273beba.52c,2,,2022-05-05 12:10:34 UTC,,0,LOG,00000,"starting PostgreSQL 14.1 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 7.5.0-3ubuntu1~18.04) 7.5.0, 64-bit",,,,,,,,,"","postmaster",,0
2022-05-05 12:10:34.398 UTC,,,1324,,6273beba.52c,3,,2022-05-05 12:10:34 UTC,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5432",,,,,,,,,"","postmaster",,0
2022-05-05 12:10:34.398 UTC,,,1324,,6273beba.52c,4,,2022-05-05 12:10:34 UTC,,0,LOG,00000,"listening on IPv6 address ""::"", port 5432",,,,,,,,,"","postmaster",,0
2022-05-05 12:10:34.410 UTC,,,1324,,6273beba.52c,5,,2022-05-05 12:10:34 UTC,,0,LOG,00000,"listening on Unix socket ""/tmp/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2022-05-05 12:10:34.420 UTC,,,1329,,6273beba.531,1,,2022-05-05 12:10:34 UTC,,0,LOG,00000,"database system was shut down at 2022-05-05 12:08:24 UTC",,,,,,,,,"","startup",,0
2022-05-05 12:10:34.439 UTC,,,1324,,6273beba.52c,6,,2022-05-05 12:10:34 UTC,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2022-05-05 12:22:51.682 UTC,"postgres","postgres",1584,"192.168.56.1:52419",6273c19b.630,1,"idle",2022-05-05 12:22:51 UTC,3/26,0,LOG,00000,"statement: SELECT pg_backend_pid() AS pid",,,,,,,,,"","client backend",,0
2022-05-05 12:22:51.693 UTC,"postgres","postgres",1584,"192.168.56.1:52419",6273c19b.630,2,"idle",2022-05-05 12:22:51 UTC,3/27,0,LOG,00000,"statement: CREATE EXTENSION pg_cron;
",,,,,,,,,"","client backend",,0
2022-05-05 12:22:51.718 UTC,"postgres","postgres",1584,"192.168.56.1:52419",6273c19b.630,3,"CREATE EXTENSION",2022-05-05 12:22:51 UTC,3/27,852,ERROR,42704,"unrecognized configuration parameter ""cron.database_name""",,,,,"PL/pgSQL function inline_code_block line 3 at IF","CREATE EXTENSION pg_cron;
",,,"","client backend",,0
2022-05-05 12:23:58.749 UTC,"postgres","postgres",1587,"192.168.56.1:52437",6273c1de.633,1,"idle",2022-05-05 12:23:58 UTC,3/31,0,LOG,00000,"statement: SELECT pg_backend_pid() AS pid",,,,,,,,,"","client backend",,0
2022-05-05 12:23:58.753 UTC,"postgres","postgres",1587,"192.168.56.1:52437",6273c1de.633,2,"idle",2022-05-05 12:23:58 UTC,3/32,0,LOG,00000,"statement: SELECT * FROM pg_database;
",,,,,,,,,"","client backend",,0
2022-05-05 12:25:50.717 UTC,"postgres","postgres",1636,"192.168.56.1:52450",6273c24e.664,1,"idle",2022-05-05 12:25:50 UTC,3/38,0,LOG,00000,"statement: SELECT pg_backend_pid() AS pid",,,,,,,,,"","client backend",,0
2022-05-05 12:25:50.719 UTC,"postgres","postgres",1636,"192.168.56.1:52450",6273c24e.664,2,"idle",2022-05-05 12:25:50 UTC,3/39,0,LOG,00000,"statement: SELECT pg_reload_conf();
",,,,,,,,,"","client backend",,0
2022-05-05 12:25:50.721 UTC,,,1324,,6273beba.52c,7,,2022-05-05 12:10:34 UTC,,0,LOG,00000,"received SIGHUP, reloading configuration files",,,,,,,,,"","postmaster",,0
2022-05-05 12:25:50.722 UTC,,,1324,,6273beba.52c,8,,2022-05-05 12:10:34 UTC,,0,LOG,55P02,"parameter ""shared_preload_libraries"" cannot be changed without restarting the server",,,,,,,,,"","postmaster",,0
